Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
1364,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,23,2,180,0.0,0.0,0,0,0.0,0,0,0,90,81,90.0,73,5,12,1869,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
1365,Marc-Oliver Kempf,GER,DF,Hertha BSC,Bundesliga,27,12,1051,0.0,0.0,0,0,0.0,0,0,1,436,316,72.48,247,49,140,6455,4,0,0.0,15,18,3,83.33,4,4,100.0,1,1,14,13,46,25,64.74
1366,Marc-Oliver Kempf,GER,DF,Stuttgart,Bundesliga,27,12,840,0.32,0.23,0,0,0.0,3,0,0,578,478,82.7,389,79,110,9630,2,0,0.0,14,23,9,60.87,4,5,80.0,2,0,14,8,38,21,64.41
1367,Kenedy,BRA,DF,Chelsea,Premier League,26,1,58,0.0,0.0,0,0,0.0,0,0,1,49,38,77.55,36,7,6,637,3,0,0.0,2,3,1,66.67,0,1,0.0,0,0,1,0,0,1,0.0
1368,Jonjoe Kenny,ENG,DF,Everton,Premier League,25,15,1018,0.0,0.0,0,0,0.0,0,0,1,473,353,74.63,240,102,131,6446,15,6,40.0,12,19,7,63.16,3,9,33.33,3,1,11,6,13,16,44.75
1369,Dimitrios Keramitsis,GRE,DF,Roma,Serie A,17,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1370,Franck Kessié,CIV,MF,Milan,Serie A,25,31,2308,0.23,0.13,2,3,66.67,6,0,0,1329,1162,87.43,1055,108,167,21947,10,4,40.0,34,52,18,65.38,23,34,67.65,2,0,38,35,36,35,50.72
1371,Saîf-Eddine Khaoui,TUN,MFFW,Clermont Foot,Ligue 1,27,23,927,0.1,0.05,0,0,0.0,1,0,0,396,291,73.48,279,44,73,4649,14,1,7.14,18,23,5,78.26,14,18,77.78,1,0,12,15,2,9,17.92
1372,Wahbi Khazri,TUN,FWMF,Saint-Étienne,Ligue 1,31,30,2225,0.4,0.09,4,4,100.0,10,0,0,622,430,69.13,370,103,149,7788,41,4,9.76,20,31,11,64.52,27,62,43.55,6,0,21,49,16,38,29.68
1373,Rani Khedira,GER,MF,Union Berlin,Bundesliga,28,32,2757,0.0,0.0,0,0,0.0,0,0,1,946,698,73.78,594,133,220,12231,17,5,29.41,51,80,29,63.75,17,22,77.27,6,0,64,39,44,45,49.48
1374,Kike,ESP,FW,Osasuna,La Liga,32,33,1862,0.24,0.08,1,1,100.0,5,0,1,518,352,67.95,306,95,116,5537,22,4,18.18,12,17,5,70.59,13,23,56.52,2,0,25,40,82,130,38.67
1375,Luca Kilian,GER,FW,Mainz 05,Bundesliga,22,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1376,Luca Kilian,GER,DF,Köln,Bundesliga,22,30,2281,0.04,0.2,0,0,0.0,1,0,0,1351,1156,85.57,1012,82,256,27043,3,0,0.0,24,47,23,51.06,1,3,33.33,3,0,10,12,68,53,56.28
1377,Max Kilman,ENG,DF,Wolves,Premier League,25,30,2687,0.03,0.08,0,0,0.0,1,0,0,1477,1280,86.66,1121,114,241,26904,2,0,0.0,33,53,20,62.26,13,17,76.47,3,0,22,16,86,43,66.67
1378,Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,27,28,2474,0.11,0.11,0,0,0.0,3,0,9,2585,2200,85.11,1834,249,503,43953,34,5,14.71,33,43,10,76.74,22,37,59.46,4,0,23,58,24,22,52.1
1379,Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,26,30,2576,0.03,0.14,0,0,0.0,1,0,0,2242,2171,96.83,2033,129,79,40134,2,2,100.0,21,39,18,53.85,8,13,61.54,6,0,30,27,54,22,71.05
1380,Joshua King,NOR,FW,Watford,Premier League,30,32,2248,0.2,0.08,1,1,100.0,5,0,3,525,388,73.9,330,101,92,5865,24,2,8.33,21,31,10,67.74,36,67,53.73,5,0,44,25,93,127,42.27
1381,Jakub Kiwior,POL,MF,Spezia,Serie A,22,22,1964,0.0,0.0,0,0,0.0,0,0,0,695,549,78.99,471,94,132,10802,4,0,0.0,25,53,28,47.17,7,10,70.0,6,0,29,5,40,31,56.31
1382,Sofian Kiyine,MAR,MFFW,Venezia,Serie A,24,26,1239,0.07,0.05,0,1,0.0,1,0,0,533,396,74.3,351,59,124,8873,27,0,0.0,19,30,11,63.33,52,71,73.24,8,1,55,13,13,21,38.21
1383,Simon Kjær,DEN,DF,Milan,Serie A,33,11,802,0.0,0.0,0,0,0.0,0,1,0,454,401,88.33,357,30,67,8921,2,2,100.0,14,23,9,60.87,1,1,100.0,2,0,20,6,14,17,45.11
1384,Kristoffer Klaesson,NOR,GK,Leeds United,Premier League,21,1,36,0.0,0.0,0,0,0.0,0,0,0,11,9,81.82,7,1,3,250,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1385,Philipp Klement,GER,MFFW,Stuttgart,Bundesliga,29,6,338,0.26,0.17,0,0,0.0,1,0,0,272,214,78.68,184,31,57,4259,2,0,0.0,7,7,0,100.0,6,9,66.67,0,0,2,4,4,5,44.3
1386,Mateusz Klich,POL,MF,Leeds United,Premier League,31,33,2073,0.04,0.02,0,0,0.0,1,0,2,1005,787,78.31,729,119,155,12287,28,3,10.71,26,49,23,53.06,19,29,65.52,5,0,45,19,8,20,28.69
1387,Thibault Klidje,TOG,DFFW,Bordeaux,Ligue 1,20,5,86,0.0,0.0,0,0,0.0,0,0,0,39,29,74.36,30,3,6,529,7,0,0.0,1,1,0,100.0,3,8,37.5,0,0,3,4,2,6,25.0
1388,Mateo Klimowicz,GER,FWMF,Stuttgart,Bundesliga,21,15,603,0.0,0.0,0,0,0.0,0,0,1,196,146,74.49,146,33,17,2424,3,0,0.0,6,12,6,50.0,8,22,36.36,2,0,9,10,0,6,0.0
1389,Fabian Klos,GER,FW,Arminia,Bundesliga,34,25,1420,0.19,0.03,2,2,100.0,3,0,1,442,237,53.62,137,158,148,3813,19,2,10.53,1,6,5,16.67,10,15,66.67,2,1,33,16,134,125,51.74
1390,Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,25,23,1648,0.0,0.0,0,0,0.0,0,0,1,1071,933,87.11,811,102,158,17250,4,1,25.0,14,35,21,40.0,2,5,40.0,1,0,10,4,26,22,54.2
1391,Justin Kluivert,NED,MF,Nice,Ligue 1,23,27,1868,0.19,0.13,0,0,0.0,4,0,5,699,449,64.23,393,103,202,8441,81,13,16.05,12,24,12,50.0,33,72,45.83,6,1,44,31,20,17,53.93
1392,Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,26,5,194,0.0,0.0,0,0,0.0,0,0,0,100,67,67.0,57,14,29,1270,5,2,40.0,2,2,0,100.0,4,7,57.14,1,0,6,2,4,3,57.23
1393,Ansgar Knauff,GER,DF,Eint Frankfurt,Bundesliga,20,12,759,0.12,0.08,0,0,0.0,1,0,1,347,221,63.69,180,75,92,3612,17,4,23.53,9,19,10,47.37,16,28,57.14,0,0,15,10,9,23,28.08
1394,Ansgar Knauff,GER,FWMF,Dortmund,Bundesliga,20,5,114,0.0,0.0,0,0,0.0,0,0,0,37,23,62.16,22,7,8,302,1,0,0.0,2,5,3,40.0,4,11,36.36,0,0,3,1,1,3,25.0
1395,Robin Knoche,GER,DF,Union Berlin,Bundesliga,30,33,2970,0.0,0.0,0,0,0.0,0,0,0,1683,1363,80.99,1148,138,399,33478,1,1,100.0,26,45,19,57.78,10,13,76.92,6,0,27,14,93,80,53.82
1396,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,24,29,2565,0.0,0.0,0,0,0.0,0,0,0,1020,832,81.57,724,29,266,20648,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,1,6,0,0,0.0
1397,Robin Koch,GER,MFDF,Leeds United,Premier League,25,20,1574,0.0,0.0,0,0,0.0,0,0,0,681,530,77.83,430,95,156,10668,2,0,0.0,20,31,11,64.52,4,5,80.0,3,0,25,11,54,47,53.46
1398,Samuel Koeberlé,FRA,MF,Reims,Ligue 1,17,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1399,Philippe Koffi,FRA,FW,Reims,Ligue 1,20,10,375,0.24,0.11,0,0,0.0,1,0,0,80,51,63.75,52,11,17,694,4,0,0.0,2,5,3,40.0,5,8,62.5,1,0,8,15,8,13,38.0
1400,Dominik Kohr,GER,MF,Mainz 05,Bundesliga,28,22,1614,0.0,0.0,0,0,0.0,0,0,3,852,646,75.82,553,139,160,11343,2,0,0.0,27,43,16,62.79,9,12,75.0,10,2,49,26,35,25,58.33
1401,Koba Koindredi,FRA,MF,Valencia,La Liga,20,10,181,0.0,0.0,0,0,0.0,0,0,0,50,38,76.0,26,14,10,702,0,0,0.0,1,3,2,33.33,0,1,0.0,1,0,9,6,5,6,45.45
1402,Koke,ESP,MF,Atlético Madrid,La Liga,30,31,2508,0.04,0.08,0,0,0.0,1,0,2,1760,1509,85.74,1275,206,279,26184,23,5,21.74,31,50,19,62.0,14,23,60.87,6,0,36,33,16,28,36.31
1403,Aleksandr Kokorin,RUS,FWMF,Fiorentina,Serie A,31,6,55,0.0,0.0,0,0,0.0,0,0,0,26,17,65.38,16,4,6,277,0,0,0.0,0,1,1,0.0,2,3,66.67,1,0,2,3,5,5,50.0
1404,Aleksandar Kolarov,SRB,DF,Inter,Serie A,36,3,42,0.0,0.0,0,0,0.0,0,0,0,37,30,81.08,26,3,8,563,0,0,0.0,1,1,0,100.0,0,2,0.0,0,0,0,1,1,2,33.33
1405,Sead Kolainac,BIH,DF,Marseille,Ligue 1,28,14,440,0.0,0.0,0,0,0.0,0,0,1,246,192,78.05,169,47,30,3002,13,2,15.38,5,6,1,83.33,1,4,25.0,0,0,7,4,7,1,87.73
1406,Sead Kolainac,BIH,DF,Arsenal,Premier League,28,2,91,0.0,0.0,0,0,0.0,0,0,0,13,10,76.92,8,2,3,167,0,0,0.0,1,1,0,100.0,0,0,0.0,1,0,3,0,2,1,66.67
1407,Luca Koleosho,USA,FW,Espanyol,La Liga,17,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,100.0
1408,Randal Kolo Muani,FRA,FWMF,Nantes,Ligue 1,23,36,2948,0.37,0.22,0,0,0.0,12,0,4,600,403,67.17,397,124,80,5478,40,6,15.0,19,28,9,67.86,47,99,47.47,2,0,57,73,71,122,36.73
1409,Timothée Kolodziejczak,FRA,DF,Saint-Étienne,Ligue 1,30,30,2565,0.07,0.13,0,0,0.0,2,2,3,1593,1257,78.91,1023,278,291,23182,28,10,35.71,29,46,17,63.04,3,6,50.0,4,1,28,1,36,46,43.9
1410,Ghislain Konan,CIV,DF,Reims,Ligue 1,26,28,2418,0.04,0.05,0,0,0.0,1,0,3,1307,990,75.75,710,350,247,17399,67,16,23.88,19,36,17,52.78,46,89,51.69,1,0,17,32,15,18,45.53
1411,Ibrahima Konaté,FRA,DF,Liverpool,Premier League,23,11,990,0.0,0.0,0,0,0.0,0,0,0,728,654,89.84,588,54,85,13686,0,0,0.0,8,14,6,57.14,3,3,100.0,2,0,13,3,41,16,72.01
1412,Geoffrey Kondogbia,CTA,MFDF,Atlético Madrid,La Liga,29,28,1882,0.05,0.07,0,0,0.0,1,0,2,1007,880,87.39,754,93,160,17036,1,0,0.0,47,75,28,62.67,17,22,77.27,13,2,43,48,42,29,59.12
1413,Ibrahima Koné,MLI,FW,Lorient,Ligue 1,22,16,732,0.62,0.36,0,0,0.0,5,0,1,142,101,71.13,104,26,12,1190,5,1,20.0,6,11,5,54.55,2,7,28.57,2,0,13,11,14,40,25.94
1414,Kouadio Koné,FRA,MF,M'Gladbach,Bundesliga,21,27,2183,0.08,0.07,0,0,0.0,2,0,0,1191,1047,87.91,994,93,104,17659,2,2,100.0,45,68,23,66.18,47,69,68.12,10,0,41,71,30,24,55.41
1415,Youssouf Koné,MLI,DF,Troyes,Ligue 1,26,21,980,0.0,0.0,0,0,0.0,0,0,1,437,335,76.66,278,79,80,6382,24,6,25.0,17,35,18,48.57,14,20,70.0,2,1,6,21,3,14,17.95
1416,Ezri Konsa,ENG,DF,Aston Villa,Premier League,24,29,2477,0.07,0.13,0,0,0.0,2,0,0,971,850,87.54,748,86,137,16866,1,0,0.0,14,26,12,53.85,6,8,75.0,6,2,17,38,60,43,58.29
1417,Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,30,2126,0.17,0.14,0,0,0.0,4,1,1,1482,1185,79.96,1015,141,328,23746,31,12,38.71,24,40,16,60.0,25,37,67.57,4,0,42,24,30,22,57.73
1418,Laurent Koscielny,FRA,DF,Bordeaux,Ligue 1,36,11,933,0.0,0.0,0,0,0.0,0,0,1,544,496,91.18,422,45,77,12164,0,0,0.0,8,14,6,57.14,2,2,100.0,2,0,12,8,17,7,70.87
1419,Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,21,27,1793,0.0,0.0,0,0,0.0,0,0,1,1160,977,84.22,830,174,156,20905,5,1,20.0,22,33,11,66.67,13,22,59.09,3,0,19,10,34,30,53.11
1420,Filip Kosti?,SRB,DFFW,Eint Frankfurt,Bundesliga,29,31,2522,0.14,0.08,0,0,0.0,4,0,9,1618,1039,64.22,756,358,504,22599,191,44,23.04,29,43,14,67.44,32,75,42.67,2,0,18,26,17,13,57.01
1421,Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,25,34,2968,0.03,0.03,0,0,0.0,1,0,2,1584,1393,87.94,1383,98,103,25126,8,5,62.5,32,51,19,62.75,44,67,65.67,5,0,45,72,19,31,38.16
1422,Nianzou Kouassi,FRA,DF,Bayern Munich,Bundesliga,19,17,582,0.15,0.14,0,0,0.0,1,0,1,527,487,92.41,461,30,36,9429,1,0,0.0,6,11,5,54.55,5,6,83.33,4,0,13,8,23,13,63.9
1423,Kalidou Koulibaly,SEN,DF,Napoli,Serie A,30,27,2405,0.11,0.27,0,0,0.0,3,0,1,1629,1426,87.54,1260,133,236,28134,2,0,0.0,43,60,17,71.67,19,22,86.36,5,1,32,13,49,34,59.16
1424,Jules Koundé,FRA,DF,Sevilla,La Liga,23,32,2736,0.07,0.14,0,0,0.0,2,0,1,2125,1903,89.55,1639,189,296,38857,11,4,36.36,22,38,16,57.89,22,37,59.46,2,2,22,28,91,50,64.58
1425,Christos Kourfalidis,GRE,MFDF,Cagliari,Serie A,19,2,18,0.0,0.0,0,0,0.0,0,0,0,12,8,66.67,6,4,2,150,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,50.0
1426,Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,25,30,2665,0.03,0.05,0,0,0.0,1,0,0,1116,935,83.78,808,109,200,21102,0,0,0.0,48,98,50,48.98,6,12,50.0,8,1,41,32,108,45,70.6
1427,Cheikhou Kouyaté,SEN,MF,Crystal Palace,Premier League,32,27,1974,0.0,0.0,0,0,0.0,0,0,1,788,657,83.38,574,87,128,11233,5,1,20.0,34,60,26,56.67,13,20,65.0,3,0,37,30,56,27,67.55
1428,Mateo Kova?i?,CRO,MF,Chelsea,Premier League,28,25,1558,0.12,0.09,0,0,0.0,2,0,5,1194,1066,89.28,1000,100,93,19713,5,1,20.0,40,52,12,76.92,31,39,79.49,4,0,30,35,5,9,35.8
1429,Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,26,1325,0.07,0.13,0,0,0.0,1,0,3,601,459,76.37,447,62,92,8047,9,0,0.0,14,17,3,82.35,5,15,33.33,4,0,16,20,14,20,41.13
1430,Emil Krafth,SWE,DF,Newcastle Utd,Premier League,27,20,1634,0.0,0.0,0,0,0.0,0,0,1,761,555,72.93,410,133,217,9087,18,1,5.56,20,39,19,51.28,3,5,60.0,5,0,27,12,32,27,54.32
1431,Alex Král,CZE,MF,West Ham,Premier League,24,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,50.0
1432,Andrej Kramari?,CRO,FWMF,Hoffenheim,Bundesliga,30,32,2707,0.2,0.06,0,0,0.0,6,0,9,1057,819,77.48,749,162,147,13078,53,10,18.87,10,14,4,71.43,24,46,52.17,2,0,10,32,20,33,37.5
1433,Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,31,18,748,0.0,0.0,0,0,0.0,0,0,0,467,370,79.23,323,72,72,6001,5,1,20.0,19,33,14,57.58,7,13,53.85,1,0,19,5,12,15,44.48
1434,Jean-Philippe Krasso,FRA,FW,Saint-Étienne,Ligue 1,24,16,453,0.2,0.08,0,0,0.0,1,0,1,106,69,65.09,74,15,17,973,6,1,16.67,4,6,2,66.67,13,28,46.43,0,0,9,9,18,20,47.37
1435,Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25,1,7,0.0,0.0,0,0,0.0,0,0,0,2,1,50.0,1,1,0,7,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,2,1,66.67
1436,Toni Kroos,GER,MF,Real Madrid,La Liga,32,28,2103,0.04,0.02,0,0,0.0,1,0,3,2258,2076,91.94,1715,185,358,43854,31,5,16.13,31,44,13,70.45,8,19,42.11,4,0,21,42,9,12,42.7
1437,Florian Krüger,GER,FWMF,Arminia,Bundesliga,23,27,1129,0.08,0.06,0,0,0.0,1,0,2,310,212,68.39,194,65,51,3381,20,5,25.0,5,6,1,83.33,7,22,31.82,0,0,9,12,14,23,37.84
1438,Tim Krul,NED,GK,Norwich City,Premier League,34,29,2610,0.0,0.0,0,0,0.0,0,1,0,1056,731,69.22,531,45,481,23374,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,1,0,0,0.0
1439,Rade Kruni?,BIH,MFFW,Milan,Serie A,28,28,1416,0.0,0.0,0,0,0.0,0,0,1,579,477,82.38,446,73,60,7227,8,1,12.5,22,32,10,68.75,15,18,83.33,2,0,25,31,29,29,50.0
1440,Max Kruse,GER,FWMF,Wolfsburg,Bundesliga,34,14,1128,0.56,0.26,2,2,100.0,7,0,1,497,366,73.64,320,101,77,6682,22,5,22.73,8,9,1,88.89,9,12,75.0,0,0,4,12,13,24,35.14
1441,Max Kruse,GER,FWMF,Union Berlin,Bundesliga,34,16,1270,0.35,0.07,3,3,100.0,5,0,4,481,350,72.77,269,89,123,7106,31,8,25.81,3,6,3,50.0,16,22,72.73,1,0,5,8,15,37,28.8
1442,Lukas Kübler,GER,DF,Freiburg,Bundesliga,29,29,2327,0.08,0.15,0,0,0.0,2,0,0,1243,906,72.89,640,249,352,17980,34,9,26.47,32,71,39,45.07,14,22,63.64,2,0,28,24,56,45,55.38
1443,Takefusa Kubo,JPN,FWMF,Mallorca,La Liga,20,28,1605,0.06,0.02,0,0,0.0,1,0,0,516,363,70.35,361,66,89,5885,36,7,19.44,24,28,4,85.71,36,68,52.94,4,0,19,54,13,18,41.95
1444,Juraj Kucka,SVK,MF,Watford,Premier League,35,26,1920,0.05,0.02,0,0,0.0,1,1,1,697,488,70.01,411,126,160,8569,10,2,20.0,47,74,27,63.51,21,36,58.33,5,1,53,49,55,58,48.68
1445,Mykola Kukharevych,UKR,FW,Troyes,Ligue 1,20,2,15,0.0,0.0,0,0,0.0,0,0,0,6,4,66.67,4,2,0,38,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,2,1,66.67
1446,Dejan Kulusevski,SWE,MFFW,Tottenham,Premier League,22,18,1261,0.36,0.19,0,0,0.0,5,0,8,463,389,84.02,393,36,35,5908,24,7,29.17,16,20,4,80.0,28,56,50.0,3,0,25,18,5,13,27.91
1447,Dejan Kulusevski,SWE,FWMF,Juventus,Serie A,22,20,772,0.12,0.06,0,0,0.0,1,0,3,244,196,80.33,192,28,24,2991,11,3,27.27,11,17,6,64.71,12,27,44.44,1,0,32,12,11,22,33.33
1448,Marash Kumbulla,ALB,DF,Roma,Serie A,22,17,1025,0.0,0.0,0,0,0.0,0,0,0,632,546,86.39,507,27,98,11952,1,0,0.0,19,26,7,73.08,0,0,0.0,6,0,26,11,34,19,64.09
1449,Fabian Kunze,GER,MF,Arminia,Bundesliga,23,22,1260,0.0,0.0,0,0,0.0,0,0,0,496,370,74.6,286,105,106,6693,7,3,42.86,23,37,14,62.16,13,22,59.09,9,0,41,24,43,34,55.82
1450,Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,25,29,2002,0.05,0.14,0,0,0.0,1,0,0,1194,988,82.75,733,262,201,17609,27,10,37.04,31,50,19,62.0,16,30,53.33,6,1,26,17,27,23,53.98
1451,Grejohn Kyei,FRA,FW,Clermont Foot,Ligue 1,26,14,396,0.0,0.0,0,0,0.0,0,0,1,93,70,75.27,70,16,7,994,0,0,0.0,1,2,1,50.0,6,9,66.67,1,0,14,9,12,11,52.2
1452,Giorgos Kyriakopoulos,GRE,DFFW,Sassuolo,Serie A,26,29,1975,0.0,0.0,0,0,0.0,0,0,5,1283,1060,82.62,841,213,228,18297,62,13,20.97,22,35,13,62.86,30,49,61.22,6,1,29,40,21,27,43.84
1453,Andrea La Mantia,ITA,FW,Empoli,Serie A,31,18,488,0.37,0.12,0,0,0.0,2,0,0,98,70,71.43,56,24,18,896,4,0,0.0,1,2,1,50.0,0,0,0.0,0,0,7,9,33,20,62.28
1454,Gaëtan Laborde,FRA,FW,Rennes,Ligue 1,28,34,2729,0.4,0.12,2,2,100.0,12,0,8,658,433,65.81,351,154,151,6605,39,10,25.64,15,22,7,68.18,15,39,38.46,1,0,35,21,88,139,38.72
1455,Gaëtan Laborde,FRA,FW,Montpellier,Ligue 1,28,4,341,0.79,0.23,0,0,0.0,3,0,0,97,61,62.89,45,22,30,969,5,2,40.0,1,3,2,33.33,3,4,75.0,1,0,3,3,14,16,46.64
1456,Alexandre Lacazette,FRA,FWMF,Arsenal,Premier League,31,30,1782,0.2,0.05,2,3,66.67,4,0,7,455,350,76.92,343,73,41,4809,7,1,14.29,19,26,7,73.08,17,30,56.67,0,0,37,36,22,68,24.45
1457,Tom Lacoux,FRA,DFMF,Bordeaux,Ligue 1,20,13,907,0.0,0.0,0,0,0.0,0,0,0,411,322,78.35,258,59,94,5697,3,0,0.0,19,31,12,61.29,9,16,56.25,5,0,20,9,9,16,36.03
1458,Lenny Lacroix,FRA,DF,Metz,Ligue 1,19,3,200,0.0,0.0,0,0,0.0,0,0,1,76,55,72.37,49,4,23,1193,0,0,0.0,6,9,3,66.67,0,0,0.0,0,0,1,0,9,6,59.97
1459,Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,22,29,2491,0.0,0.0,0,0,0.0,0,1,0,1512,1241,82.08,1097,132,285,28946,5,1,20.0,26,64,38,40.62,30,40,75.0,5,3,38,29,100,54,64.93
1460,Alban Lafont,FRA,GK,Nantes,Ligue 1,23,38,3420,0.0,0.0,0,0,0.0,0,0,0,1113,680,61.1,456,26,631,23860,0,0,0.0,0,0,0,0.0,0,0,0.0,3,0,1,3,0,0,0.0
1461,Víctor Laguardia,ESP,DF,Alavés,La Liga,32,34,3042,0.09,0.21,0,0,0.0,3,0,2,1217,916,75.27,656,118,439,24228,2,0,0.0,17,37,20,45.95,0,1,0.0,9,0,27,7,84,56,60.0
1462,Konrad Laimer,AUT,MF,RB Leipzig,Bundesliga,25,26,1240,0.29,0.25,0,0,0.0,4,0,4,696,558,80.17,513,89,94,9441,12,3,25.0,23,41,18,56.1,21,38,55.26,2,0,45,11,13,15,46.31
1463,Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,29,21,1471,0.06,0.08,0,0,0.0,1,0,2,768,575,74.87,408,176,184,9552,27,4,14.81,11,24,13,45.83,10,22,45.45,2,0,9,14,17,21,44.64
1464,Diego Lainez,MEX,FW,Betis,La Liga,21,7,140,0.0,0.0,0,0,0.0,0,0,0,55,45,81.82,42,6,7,610,1,0,0.0,2,2,0,100.0,3,9,33.33,0,0,4,1,1,5,16.76
1465,Adam Lallana,ENG,MF,Brighton,Premier League,34,24,1561,0.0,0.0,0,0,0.0,0,0,1,946,829,87.63,739,121,88,13036,8,0,0.0,22,38,16,57.89,19,30,63.33,4,0,14,23,14,13,51.92
1466,Vassilis Lambropoulos,GRE,DF,Bochum,Bundesliga,32,13,1168,0.0,0.0,0,0,0.0,0,1,0,420,350,83.33,280,41,99,8678,3,0,0.0,18,25,7,72.0,1,2,50.0,1,0,5,4,35,18,66.09
1467,Érik Lamela,ARG,FW,Sevilla,La Liga,30,20,1015,0.44,0.23,0,0,0.0,5,0,2,479,409,85.39,385,55,39,6354,11,0,0.0,28,34,6,82.35,13,28,46.43,5,0,22,14,9,17,34.78
1468,Didier Lamkel Zé,CMR,FW,Metz,Ligue 1,25,9,605,0.45,0.21,0,0,0.0,3,0,0,180,128,71.11,119,33,28,1829,6,1,16.67,2,4,2,50.0,8,15,53.33,2,0,8,15,20,30,40.03
1469,Sam Lammers,NED,FW,Eint Frankfurt,Bundesliga,25,15,517,0.18,0.08,0,0,0.0,1,0,0,135,89,65.93,70,38,27,1233,0,0,0.0,3,7,4,42.86,6,16,37.5,1,0,7,3,28,22,55.99
1470,Sam Lammers,NED,FW,Atalanta,Serie A,25,2,38,0.0,0.0,0,0,0.0,0,0,0,19,11,57.89,13,3,3,164,1,0,0.0,0,0,0,0.0,0,1,0.0,0,0,2,3,2,7,22.22
1471,Tariq Lamptey,ENG,DFFW,Brighton,Premier League,21,30,1561,0.0,0.0,0,0,0.0,0,0,2,787,607,77.13,536,130,121,9155,72,14,19.44,23,38,15,60.53,28,60,46.67,4,0,31,54,9,32,21.94
1472,Manuel Lanzini,ARG,MFFW,West Ham,Premier League,29,30,1786,0.25,0.15,3,3,100.0,5,0,3,1218,1103,90.56,992,112,114,17842,12,2,16.67,18,25,7,72.0,17,27,62.96,2,0,18,24,7,20,25.74
1473,Aymeric Laporte,ESP,DF,Manchester City,Premier League,28,33,2828,0.13,0.11,0,0,0.0,4,0,0,2854,2704,94.74,2446,144,263,58451,5,1,20.0,17,31,14,54.84,3,5,60.0,5,1,15,13,73,36,66.86
1474,Julien Laporte,FRA,DF,Lorient,Ligue 1,28,33,2891,0.06,0.12,0,0,0.0,2,0,0,1422,1223,86.01,950,138,334,30806,2,0,0.0,48,71,23,67.61,6,7,85.71,7,0,31,27,84,51,62.23
1475,Yasser Larouci,ALG,DF,Troyes,Ligue 1,21,12,341,0.0,0.0,0,0,0.0,0,0,0,160,129,80.62,97,32,31,2179,11,4,36.36,3,6,3,50.0,9,21,42.86,1,0,2,10,4,2,66.46
1476,Kevin Lasagna,ITA,FWMF,Hellas Verona,Serie A,29,28,1184,0.15,0.05,0,0,0.0,2,0,4,286,191,66.78,168,67,52,3146,15,1,6.67,12,14,2,85.71,12,20,60.0,1,0,18,11,39,59,39.76
1477,Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,28,26,2058,0.04,0.06,0,0,0.0,1,2,0,666,508,76.28,417,57,194,10832,5,0,0.0,11,21,10,52.38,1,1,100.0,5,0,23,4,99,35,73.85
