Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
163,Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,24,1838,0.05,0.07,0,0,0.0,1,0,0,1346,1206,89.6,1071,109,168,25716,1,0,0.0,28,39,11,71.79,4,7,57.14,4,0,27,11,72,20,78.27
164,Youssouph Badji,SEN,FW,Brest,Ligue 1,20,9,135,0.0,0.0,0,0,0.0,0,0,0,38,26,68.42,20,6,12,273,1,0,0.0,0,0,0,0.0,1,1,100.0,0,0,3,0,7,8,46.7
165,Miguel Baeza,ESP,DF,Celta Vigo,La Liga,22,1,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
166,Nicola Bagnolini,ITA,GK,Bologna,Serie A,18,1,3,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
167,Issa Bah,LUX,FW,Venezia,Serie A,19,1,9,0.0,0.0,0,0,0.0,0,0,0,6,5,83.33,5,0,1,81,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0,1,1,0,100.0
168,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,30,29,1099,0.25,0.13,0,0,0.0,3,0,1,220,168,76.36,149,47,24,2322,8,3,37.5,8,16,8,50.0,9,14,64.29,0,0,27,16,22,47,31.86
169,Leon Bailey,JAM,FWMF,Aston Villa,Premier League,24,18,761,0.12,0.05,0,0,0.0,1,0,2,224,149,66.52,130,42,52,2621,21,3,14.29,12,19,7,63.16,14,23,60.87,3,0,13,12,9,16,36.05
170,Eric Bailly,CIV,DF,Manchester Utd,Premier League,28,4,217,0.0,0.0,0,0,0.0,0,1,0,80,64,80.0,56,6,18,1365,0,0,0.0,3,8,5,37.5,0,2,0.0,1,0,2,0,5,2,71.48
171,Dénys Bain,FRA,DF,Brest,Ligue 1,28,2,180,0.0,0.0,0,0,0.0,0,0,0,82,79,96.34,66,4,12,1741,0,0,0.0,4,5,1,80.0,0,1,0.0,0,0,5,3,4,1,80.0
172,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,20,7,510,0.0,0.0,0,0,0.0,0,0,0,185,130,70.27,96,4,85,3777,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
